date,aportes_kwh
2021-11-24,250198100.0
2021-11-25,288826900.0
2021-11-26,276333900.0
2021-11-27,247320100.0
2021-11-28,174195800.0
2021-11-29,170879100.0
2021-11-30,185204700.0
2021-12-01,198512100.0
2021-12-02,145582700.0
2021-12-03,146743500.0
2021-12-04,158840100.0
2021-12-05,138916000.0
2021-12-06,128198000.0
2021-12-07,124269800.0
2021-12-08,108085600.0
2021-12-09,111412600.0
2021-12-10,106606400.0
2021-12-11,118908700.0
2021-12-12,135822300.0
2021-12-13,123367700.0
2021-12-14,105473700.0
2021-12-15,101498900.0
2021-12-16,101219900.0
2021-12-17,108352600.0
2021-12-18,123990700.0
2021-12-19,112657400.0
2021-12-20,115027700.0
2021-12-21,110888800.0
2021-12-22,119245100.0
2021-12-23,109941300.0
2021-12-24,97441800.0
2021-12-25,96678700.0
2021-12-26,113860700.0
2021-12-27,117856000.0
2021-12-28,115400200.0
2021-12-29,123309700.0
2021-12-30,122235600.0
2021-12-31,101657300.0
2022-01-01,109542700.0
2022-01-02,110856500.0
2022-01-03,103965400.0
2022-01-04,98656700.0
2022-01-05,94045700.0
2022-01-06,107799700.0
2022-01-07,125021100.0
2022-01-08,96123500.0
2022-01-09,92590900.0
2022-01-10,88306100.0
2022-01-11,87214700.0
2022-01-12,85559300.0
2022-01-13,93526400.0
2022-01-14,138276600.0
2022-01-15,93670800.0
2022-01-16,80107100.0
2022-01-17,86878600.0
2022-01-18,80503800.0
2022-01-19,73509800.0
2022-01-20,70591500.0
2022-01-21,69991700.0
2022-01-22,78442600.0
2022-01-23,81404500.0
2022-01-24,72713300.0
2022-01-25,100534300.0
2022-01-26,84264600.0
2022-01-27,80751600.0
2022-01-28,78237000.0
2022-01-29,68831900.0
2022-01-30,60646100.0
2022-01-31,65574300.0
2022-02-01,67311200.0
2022-02-02,65225200.0
2022-02-03,60657500.0
2022-02-04,67663700.0
2022-02-05,82453400.0
2022-02-06,99937900.0
2022-02-07,102317800.0
2022-02-08,123436800.0
2022-02-09,126465900.0
2022-02-10,97974100.0
2022-02-11,89009700.0
2022-02-12,87759800.0
2022-02-13,87702300.0
2022-02-14,98782000.0
2022-02-15,87908200.0
2022-02-16,87230400.0
2022-02-17,84244800.0
2022-02-18,113849000.0
2022-02-19,110971200.0
2022-02-20,124574000.0
2022-02-21,144007500.0
2022-02-22,123426300.0
2022-02-23,104020800.0
2022-02-24,97870900.0
2022-02-25,117126300.0
2022-02-26,131340700.0
2022-02-27,142197600.0
2022-02-28,208761200.0
2022-03-01,203766800.0
2022-03-02,196463800.0
2022-03-03,179842900.0
2022-03-04,167591900.0
2022-03-05,174151600.0
2022-03-06,253846200.0
2022-03-07,217749300.0
2022-03-08,168131300.0
2022-03-09,138747500.0
2022-03-10,147625200.0
2022-03-11,123390400.0
2022-03-12,164553000.0
2022-03-13,140274200.0
2022-03-14,158870400.0
2022-03-15,159930900.0
2022-03-16,140889900.0
2022-03-17,142196700.0
2022-03-18,134008000.0
2022-03-19,121594900.0
2022-03-20,149096700.0
2022-03-21,132884600.0
2022-03-22,149084400.0
2022-03-23,135921400.0
2022-03-24,125808600.0
2022-03-25,139400300.0
2022-03-26,141114200.0
2022-03-27,204717700.0
2022-03-28,172080000.0
2022-03-29,192119400.0
2022-03-30,200455400.0
2022-03-31,206861900.0
2022-04-01,225581800.0
2022-04-02,202339300.0
2022-04-03,153307500.0
2022-04-04,179551800.0
2022-04-05,178507100.0
2022-04-06,183756200.0
2022-04-07,293834700.0
2022-04-08,219136400.0
2022-04-09,188980200.0
2022-04-10,176408100.0
2022-04-11,148013400.0
2022-04-12,187926300.0
2022-04-13,159298500.0
2022-04-14,116408400.0
2022-04-15,120370900.0
2022-04-16,139807600.0
2022-04-17,162293700.0
2022-04-18,196029900.0
2022-04-19,261139900.0
2022-04-20,290583700.0
2022-04-21,337084700.0
2022-04-22,357076400.0
2022-04-23,332588400.0
2022-04-24,261389700.0
2022-04-25,338927200.0
2022-04-26,227214300.0
2022-04-27,288220600.0
2022-04-28,255656900.0
2022-04-29,290732800.0
2022-04-30,194231300.0
2022-05-01,174192300.0
2022-05-02,187858200.0
2022-05-03,147314700.0
2022-05-04,131157600.0
2022-05-05,210729800.0
2022-05-06,173206800.0
2022-05-07,326448300.0
2022-05-08,257491500.0
2022-05-09,221127000.0
2022-05-10,199562400.0
2022-05-11,249240800.0
2022-05-12,229459700.0
2022-05-13,228817900.0
2022-05-14,285264500.0
2022-05-15,214094400.0
2022-05-16,266958800.0
2022-05-17,255317400.0
2022-05-18,298984600.0
2022-05-19,338835500.0
2022-05-20,308069300.0
2022-05-21,256764500.0
2022-05-22,207927800.0
2022-05-23,208554400.0
2022-05-24,200976300.0
2022-05-25,239230400.0
2022-05-26,206791800.0
2022-05-27,260671300.0
2022-05-28,189498300.0
2022-05-29,225531500.0
2022-05-30,265737100.0
2022-05-31,231761700.0
2022-06-01,228449900.0
2022-06-02,241540000.0
2022-06-03,224002600.0
2022-06-04,249715400.0
2022-06-05,266367700.0
2022-06-06,268801400.0
2022-06-07,355576500.0
2022-06-08,294184500.0
2022-06-09,272834100.0
2022-06-10,268195000.0
2022-06-11,380243500.0
2022-06-12,314935600.0
2022-06-13,274979000.0
2022-06-14,303233800.0
2022-06-15,329657100.0
2022-06-16,306639500.0
2022-06-17,229887100.0
2022-06-18,238159500.0
2022-06-19,283990300.0
2022-06-20,239484800.0
2022-06-21,211135100.0
2022-06-22,213931600.0
2022-06-23,249432200.0
2022-06-24,232942000.0
2022-06-25,280134000.0
2022-06-26,387988100.0
2022-06-27,296093400.0
2022-06-28,373362100.0
2022-06-29,340702600.0
2022-06-30,310627500.0
2022-07-01,274798100.0
2022-07-02,322610600.0
2022-07-03,266497700.0
2022-07-04,389877300.0
2022-07-05,306229100.0
2022-07-06,278760200.0
2022-07-07,238885400.0
2022-07-08,325752300.0
2022-07-09,246784600.0
2022-07-10,232248500.0
2022-07-11,313014800.0
2022-07-12,234732200.0
2022-07-13,348681100.0
2022-07-14,219316900.0
2022-07-15,185209600.0
2022-07-16,172446100.0
2022-07-17,198929400.0
2022-07-18,226951800.0
2022-07-19,157234500.0
2022-07-20,221535200.0
2022-07-21,201027000.0
2022-07-22,193894900.0
2022-07-23,226972500.0
2022-07-24,208810800.0
2022-07-25,258025900.0
2022-07-26,267056200.0
2022-07-27,254371300.0
2022-07-28,427548400.0
2022-07-29,331963600.0
2022-07-30,201585400.0
2022-07-31,233584400.0
2022-08-01,329221800.0
2022-08-02,385510900.0
2022-08-03,254115400.0
2022-08-04,236446800.0
2022-08-05,345647900.0
2022-08-06,530223600.0
2022-08-07,259763700.0
2022-08-08,205722100.0
2022-08-09,239081600.0
2022-08-10,240429700.0
2022-08-11,219977300.0
2022-08-12,173489400.0
2022-08-13,204593000.0
2022-08-14,267369500.0
2022-08-15,291235100.0
2022-08-16,253954200.0
2022-08-17,185618500.0
2022-08-18,162249900.0
2022-08-19,148249300.0
2022-08-20,209094400.0
2022-08-21,182447400.0
2022-08-22,230951700.0
2022-08-23,160499000.0
2022-08-24,134112700.0
2022-08-25,127816700.0
2022-08-26,134410900.0
2022-08-27,137110600.0
2022-08-28,185323500.0
2022-08-29,244302000.0
2022-08-30,141220700.0
2022-08-31,188388500.0
2022-09-01,175417500.0
2022-09-02,191209600.0
2022-09-03,266409800.0
2022-09-04,206071800.0
2022-09-05,157615300.0
2022-09-06,176173400.0
2022-09-07,182263800.0
2022-09-08,163948600.0
2022-09-09,183642000.0
2022-09-10,161199000.0
2022-09-11,159815800.0
2022-09-12,191077100.0
2022-09-13,210105600.0
2022-09-14,210409600.0
2022-09-15,161003100.0
2022-09-16,333333000.0
2022-09-17,192058800.0
2022-09-18,234278200.0
2022-09-19,211290900.0
2022-09-20,212259500.0
2022-09-21,206740400.0
2022-09-22,228694000.0
2022-09-23,218195700.0
2022-09-24,256583700.0
2022-09-25,249303100.0
2022-09-26,197102100.0
2022-09-27,173432500.0
2022-09-28,188754100.0
2022-09-29,200941100.0
2022-09-30,217697200.0
2022-10-01,299561800.0
2022-10-02,226644100.0
2022-10-03,183919400.0
2022-10-04,193830200.0
2022-10-05,208041300.0
2022-10-06,229817800.0
2022-10-07,252293200.0
2022-10-08,326159600.0
2022-10-09,277904200.0
2022-10-10,257549500.0
2022-10-11,238960400.0
2022-10-12,214840400.0
2022-10-13,232935200.0
2022-10-14,227150200.0
2022-10-15,233389200.0
2022-10-16,256456900.0
2022-10-17,290880600.0
2022-10-18,293032300.0
2022-10-19,343793400.0
2022-10-20,416096400.0
2022-10-21,344629600.0
2022-10-22,374956400.0
2022-10-23,406211000.0
2022-10-24,432529900.0
2022-10-25,362645100.0
2022-10-26,365048700.0
2022-10-27,394334600.0
2022-10-28,515631000.0
2022-10-29,494867900.0
2022-10-30,373592900.0
